year,drought,all
1000,2,22
1001,0,3
1002,0,13
1003,0,17
1004,0,16
1005,0,9
1006,1,7
1007,1,23
1008,0,18
1009,3,66
1010,0,8
1011,0,77
1012,0,54
1013,0,67
1014,0,41
1015,0,6
1016,0,67
1017,0,27
1018,0,13
1019,0,6
1020,0,115
1021,0,24
1022,9,42
1023,3,16
1024,0,2
1025,0,6
1026,0,12
1027,2,13
1028,0,16
1029,1,13
1030,1,9
1031,6,22
1032,2,32
1033,2,65
1034,0,10
1035,0,14
1036,1,20
1037,1,22
1038,0,14
1039,1,52
1040,0,15
1041,0,46
1042,0,26
1043,0,64
1044,0,92
1045,0,9
1046,0,12
1047,0,58
1048,2,41
1049,0,9
1050,0,9
1051,0,18
1052,0,18
1053,0,14
1054,1,4
1055,0,15
1056,4,57
1057,0,68
1058,0,12
1059,1,24
1060,0,42
1061,0,3
1062,0,21
1063,0,100
1064,0,4
1065,0,12
1066,2,17
1067,2,19
1068,1,74
1069,1,61
1070,0,28
1071,0,11
1072,0,13
1073,0,19
1074,2,65
1075,1,12
1076,2,83
1077,4,180
1078,3,46
1079,0,19
1080,1,47
1081,0,26
1082,0,0
1083,5,30
1084,0,4
1085,0,43
1086,2,39
1087,1,7
1088,0,17
1089,2,18
1090,0,11
1091,3,54
1092,0,36
1093,0,59
1094,0,58
1095,1,86
1096,0,36
1097,1,50
1098,1,76
1099,0,41
1100,1,70
1101,0,15
1102,2,19
1103,1,15
1104,0,51
1105,0,13
1106,0,18
1107,0,16
1108,0,9
1109,0,27
1110,1,37
1111,0,32
1112,7,40
1113,10,55
1114,1,22
1115,0,31
1116,2,70
1117,3,331
1118,3,86
1119,0,42
1120,0,29
1121,1,41
1122,2,74
1123,0,36
1124,1,206
1125,1,313
1126,0,114
1127,0,14
1128,2,85
1129,2,56
1130,12,40
1131,0,3
1132,0,42
1133,0,123
1134,7,50
1135,17,136
1136,5,60
1137,19,77
1138,0,34
1139,0,34
1140,0,27
1141,0,29
1142,2,26
1143,0,124
1144,0,166
1145,0,82
1146,0,31
1147,0,44
1148,1,78
1149,0,99
1150,1,211
1151,0,131
1152,0,54
1153,2,71
1154,0,22
1155,3,50
1156,1,83
1157,4,167
1158,3,55
1159,2,41
1160,0,10
1161,0,25
1162,0,37
1163,0,60
1164,0,100
1165,0,47
1166,0,38
1167,1,57
1168,1,28
