year,winter,spring,summer,autumn
1000,NA,-3,-1,NA
1001,NA,NA,+2,NA
1002,NA,NA,NA,NA
1003,NA,NA,+3,NA
1004,NA,NA,NA,NA
1005,NA,NA,NA,NA
1006,NA,NA,-3,NA
1007,NA,NA,NA,NA
1008,NA,NA,NA,NA
1009,NA,NA,NA,NA
1010,+3,NA,NA,NA
1011,NA,NA,+2,NA
1012,NA,+1,+1,NA
1013,NA,+2,+2,NA
1014,+1,-3,NA,NA
1015,NA,NA,NA,NA
1016,+1,NA,NA,NA
1017,NA,NA,NA,NA
1018,NA,NA,+1,NA
1019,NA,NA,NA,NA
1020,NA,NA,+1,NA
1021,NA,NA,NA,NA
1022,NA,-2,-3,NA
1023,NA,NA,-1,NA
1024,NA,NA,NA,NA
1025,NA,NA,NA,NA
1026,NA,NA,NA,NA
1027,NA,NA,NA,NA
1028,NA,NA,NA,NA
1029,+2,NA,NA,NA
1030,NA,NA,-3,NA
1031,NA,NA,+3,NA
1032,NA,+3,+3,NA
1033,NA,NA,-3,NA
1034,NA,NA,NA,NA
1035,+1,NA,-3,NA
1036,NA,NA,-2,NA
1037,NA,NA,-2,NA
1038,NA,NA,-2,NA
1039,NA,NA,-3,NA
1040,NA,NA,NA,NA
1041,NA,NA,NA,NA
1042,NA,NA,+2,NA
1043,NA,+1,+3,NA
1044,+3,+2,+2,NA
1045,+1,NA,+1,NA
1046,+2,NA,NA,NA
1047,+3,NA,NA,NA
1048,+2,NA,NA,NA
1049,NA,+1,+1,+1
1050,NA,NA,NA,NA
1051,NA,+1,+2,+1
1052,NA,NA,NA,NA
1053,NA,-3,-3,NA
1054,NA,NA,NA,NA
1055,NA,NA,NA,NA
1056,NA,+3,NA,+1
1057,NA,NA,NA,NA
1058,NA,NA,NA,NA
1059,+2,NA,NA,NA
1060,+3,-3,+1,NA
1061,NA,NA,NA,NA
1062,NA,NA,NA,NA
1063,NA,+1,-2,NA
1064,NA,NA,NA,NA
1065,NA,NA,NA,NA
1066,NA,NA,NA,NA
1067,NA,NA,-2,NA
1068,NA,+3,+2,NA
1069,NA,NA,NA,NA
1070,NA,NA,NA,NA
1071,+3,NA,NA,NA
1072,NA,NA,NA,NA
1073,-2,NA,NA,NA
1074,-2,NA,NA,NA
1075,NA,NA,NA,NA
1076,NA,NA,+2,+1
1077,+3,-1,-1,NA
1078,NA,-3,-3,NA
1079,NA,NA,+3,NA
1080,+1,NA,NA,NA
1081,NA,NA,NA,NA
1082,NA,NA,NA,NA
1083,NA,NA,-3,NA
1084,NA,NA,NA,NA
1085,NA,NA,NA,NA
1086,+2,-1,-2,+1
1087,-1,-2,-2,NA
1088,NA,NA,NA,NA
1089,+1,NA,+1,NA
1090,NA,NA,-3,NA
1091,-2,NA,-2,NA
1092,NA,+1,+1,+1
1093,+1,+3,NA,+3
1094,+3,+1,+3,NA
1095,NA,-3,-3,+1
1096,NA,NA,NA,NA
1097,NA,+2,00,+3
1098,+2,NA,-2,-2
1099,NA,NA,+2,NA
1100,NA,NA,NA,NA
1101,NA,NA,NA,NA
1102,NA,-2,-3,-1
1103,NA,-3,NA,NA
1104,NA,NA,NA,NA
1105,+1,NA,NA,NA
1106,NA,NA,-3,+3
1107,NA,NA,-3,NA
1108,NA,NA,+3,NA
1109,NA,+3,+3,NA
1110,NA,NA,NA,NA
1111,+3,NA,NA,NA
1112,NA,NA,-3,NA
1113,+2,+1,-2,NA
1114,NA,+1,NA,NA
1115,NA,NA,NA,NA
1116,NA,NA,NA,+3
1117,-2,-2,-1,-1
1118,NA,+1,+2,+1
1119,+3,NA,NA,NA
1120,NA,NA,+2,NA
1121,NA,NA,+1,NA
1122,+2,-2,-2,-2
1123,+1,NA,+1,NA
1124,+2,+1,+2,NA
1125,+1,+1,+2,NA
1126,+2,+3,+1,NA
1127,NA,NA,-3,NA
1128,+1,+2,-3,NA
1129,+1,NA,NA,NA
1130,NA,-2,-3,NA
1131,NA,NA,-1,NA
1132,NA,NA,NA,NA
1133,NA,NA,+3,+1
1134,NA,+1,-2,+1
1135,NA,NA,-3,-2
1136,+1,NA,-2,NA
1137,NA,-3,-3,-1
1138,NA,NA,NA,NA
1139,NA,NA,NA,NA
1140,+2,NA,NA,NA
1141,-3,-3,+3,-1
1142,+1,NA,NA,NA
1143,+3,NA,+3,+3
1144,+3,NA,+2,+3
1145,NA,NA,NA,NA
1146,NA,+1,+1,NA
1147,+1,NA,NA,NA
1148,NA,NA,+1,NA
1149,NA,NA,+1,+1
1150,+3,NA,+1,NA
1151,NA,+1,+3,NA
1152,+1,NA,NA,NA
1153,NA,NA,-3,NA
1154,NA,NA,NA,NA
1155,NA,NA,+2,-2
1156,+3,-1,-3,+1
1157,+1,NA,-2,-1
1158,NA,NA,-2,NA
1159,NA,NA,+1,+1
1160,NA,NA,NA,NA
1161,NA,NA,NA,NA
1162,NA,NA,NA,NA
1163,NA,NA,+1,+2
1164,NA,NA,NA,NA
1165,NA,-1,-3,NA
1166,NA,NA,+1,NA
1167,NA,NA,NA,NA
1168,NA,NA,NA,NA
1169,NA,+1,+2,+3
1170,+1,NA,-3,NA
1171,NA,NA,-1,+2
1172,+2,+2,-1,-1
1173,-1,NA,-1,NA
1174,NA,+2,+3,+3
1175,+1,-1,-3,NA
1176,+1,NA,-2,NA
1177,NA,NA,-3,-2
1178,+3,NA,+1,+3
1179,+2,+1,+1,-1
1180,+1,NA,NA,NA
1181,NA,NA,NA,+1
1182,+1,NA,00,NA
1183,+1,NA,+1,+1
1184,NA,+3,-3,+1
1185,NA,NA,-3,+1
1186,NA,NA,-1,NA
1187,-3,+3,NA,NA
1188,NA,+1,-1,-2
1189,NA,NA,-2,NA
1190,-3,+2,-2,NA
1191,NA,NA,+1,NA
1192,NA,+2,00,-1
1193,00,+1,+1,+1
1194,NA,-1,-3,-1
1195,+2,+1,+3,+3
1196,+1,+1,+3,+1
1197,-2,-1,+1,NA
1198,-2,+1,-3,-3
1199,+1,NA,NA,NA
1200,NA,-2,NA,NA
1201,NA,-3,+2,NA
1202,NA,NA,NA,NA
1203,NA,NA,NA,NA
1204,-2,-2,-1,NA
1205,-2,-3,-2,NA
1206,+2,-1,-1,NA
1207,+1,-3,-3,NA
1208,NA,-3,-1,NA
1209,NA,NA,+3,NA
1210,NA,NA,-1,+1
1211,+1,+1,-3,NA
1212,NA,-2,-3,NA
1213,-1,NA,NA,NA
1214,NA,NA,NA,NA
1215,-1,+1,NA,NA
1216,NA,NA,-2,NA
1217,NA,NA,-3,NA
1218,NA,NA,NA,+1
1219,+2,-2,+1,+1
1220,+3,NA,NA,NA
