year,jan,feb,mar,apr,mai,jun,jul,aug,sep,oct,nov,dec
1500,00,00,00,+1,+1,-2,-2,+2,00,00,+1,+1
1501,00,00,+1,+1,+1,00,00,+2,00,00,+2,+2
1502,+1,+2,+1,00,00,00,-2,-1,+1,+1,+2,+1
1503,+1,+1,00,-1,-2,-2,-1,00,+1,+2,+2,00
1504,+2,+2,00,-2,-2,-2,-1,-1,00,00,00,00
1505,+1,+1,00,00,00,00,+2,+2,+1,+1,00,00
1506,00,00,00,00,00,-2,-1,00,00,00,00,00
1507,00,00,-1,-1,00,-2,+1,00,-1,-1,00,00
1508,00,00,+1,+1,+1,00,+1,+2,+1,00,+1,00
1509,00,00,00,00,00,+1,+1,-3,-2,-1,00,00
1510,-1,-1,+1,00,+2,00,00,00,00,00,-1,+2
1511,00,+2,+1,00,+1,+1,+3,+1,+1,00,00,00
1512,-1,-2,00,-1,+1,+2,-2,-1,+3,-1,00,+2
1513,+1,00,00,+1,00,-1,00,-1,-1,00,-3,00
1514,-3,+3,+2,+1,00,00,-1,00,+2,+3,+3,-1
1515,+3,+2,+3,+2,00,+3,+3,+3,-3,+2,+3,00
1516,-3,+3,+1,-1,-2,00,-3,-2,-1,-1,-1,+3
1517,+1,-2,-3,-2,-1,-2,+3,+2,+1,-2,-1,00
1518,+2,00,+2,00,-3,-1,00,00,+2,-2,00,-3
1519,+1,+2,00,-2,+3,+1,+2,+1,+1,+1,+1,00
1520,00,-2,00,00,+1,00,00,+2,+3,00,00,00
1521,00,00,+1,-1,-2,-1,-2,-1,-2,-1,-2,-3
1522,-2,00,00,+2,+1,+2,00,00,00,+1,+1,+3
1523,00,00,-1,-1,00,+1,-2,-3,00,00,+2,+2
1524,+3,+2,00,00,-1,+1,+1,+1,00,-1,-1,00
1525,+1,-1,-1,-1,00,00,-1,+1,00,00,+1,-1
1526,+1,+1,+3,-1,+1,-1,+2,00,00,+1,00,+1
1527,+2,00,+1,00,00,-1,00,-1,+1,-1,+2,-1
1528,00,+1,00,00,00,00,+1,+2,+1,+2,+1,00
1529,00,00,+1,-1,+1,+2,+1,+3,00,+1,+1,+1
1530,00,00,-2,+1,00,00,00,+2,00,+2,00,+1
1531,-2,00,+2,+2,+1,+1,-1,00,-1,00,00,+2
1532,+2,00,00,00,00,00,-2,-3,00,00,+1,+2
1533,+1,+2,00,+1,00,00,00,00,00,00,+1,+1
1534,+2,+1,00,+1,-2,-1,-3,-3,+1,00,00,00
1535,00,+1,+2,+2,+2,-1,00,+2,00,00,+2,00
1536,00,-1,00,-1,-2,-2,-2,-2,-3,-1,00,00
1537,00,+1,+1,+1,+2,+3,+2,+1,+1,00,-1,-1
1538,-1,00,-1,+1,+1,+1,-2,-2,00,00,+1,+2
1539,+1,00,+1,+1,+3,+1,+1,+2,+2,+3,+2,+3
1540,+2,-1,-2,-2,-3,-3,-3,-3,-1,-1,+1,+1
1541,+1,00,00,00,-2,-2,00,+2,+1,+1,00,+1
1542,+1,+1,+2,+1,+1,+2,+2,+1,00,00,00,+1
1543,+2,+1,+1,00,00,00,00,+2,00,-1,-1,+1
1544,00,00,+1,00,00,+1,+2,+1,00,00,00,00
1545,+1,+1,+1,00,-1,-2,-1,-1,-1,00,00,00
1546,-2,-1,00,00,+1,00,-1,-1,00,00,00,00
1547,00,-1,-1,-1,00,00,-2,-2,00,00,00,00
1548,+1,-1,00,+1,+1,+1,+1,00,00,+1,+2,+1
1549,00,00,00,+1,00,+2,-1,00,-1,00,+2,+2
1550,00,00,00,+1,+1,00,+1,00,00,+1,+1,00
1551,+2,00,+1,00,+2,00,00,+1,00,00,+1,00
1552,+2,+1,00,00,00,+1,+3,+2,00,+1,+1,-1
1553,+1,00,+1,+1,+1,00,-1,00,-1,00,+1,+1
1554,-1,00,-1,-2,-2,-2,00,-2,+1,+1,+1,00
1555,+1,-1,00,00,00,+1,+1,+1,-1,+2,+2,+1
1556,+1,+1,00,-2,-1,-2,-2,-3,00,00,00,+1
1557,00,00,00,00,+1,00,-1,00,+1,+1,00,00
1558,+2,+1,-1,-1,+2,+1,-2,-1,-1,00,00,+1
1559,00,00,00,-1,-2,-1,-1,-2,00,00,+1,00
1560,00,-1,-1,00,+1,+1,+2,00,00,-1,+2,-1
1561,+1,+1,-2,+1,00,-1,-3,-3,+1,+1,-2,-2
1562,+1,00,+1,+1,+1,00,00,+1,00,+1,-1,-1
1563,+1,+1,00,-1,-1,+2,+2,+1,00,+1,+1,+1
1564,+1,00,00,+1,+2,-2,-1,+2,-1,+1,00,+1
1565,-1,+1,+2,00,+1,00,00,-2,00,+1,00,+1
1566,00,+2,00,-1,-1,-2,-2,00,-1,-1,00,00
1567,00,00,-1,-1,-2,-3,-1,00,-1,00,00,00
1568,00,00,+1,+1,-2,-1,+2,+2,00,+1,-1,-1
1569,+2,+1,+1,00,-1,+1,+2,+2,00,+1,+1,+1
1570,00,+1,+1,+1,+2,-2,-1,+2,00,+2,+2,+1
1571,+1,+1,-2,-1,00,00,+1,+1,00,00,+1,00
1572,+1,+1,-1,-1,-1,+1,00,00,+1,00,+1,00
1573,+2,+1,00,00,+1,+1,+1,+2,+1,+1,00,+1
1574,00,00,00,00,00,00,-1,-2,00,-1,-1,00
1575,00,00,00,00,+1,+1,-2,-2,-1,-1,-1,-1
1576,+1,00,00,00,00,+2,+1,+2,00,00,00,00
1577,+2,+2,+2,+1,+1,00,00,00,00,00,00,00
1578,00,00,00,+2,+1,+1,-1,00,00,-1,00,00
1579,+1,+1,00,+2,+1,+3,+3,00,+1,+1,+1,00
1580,-1,00,00,-1,-1,+2,+2,+1,00,-2,-3,+3
1581,-1,+1,+2,00,00,+1,+1,+2,-1,00,00,+1
1582,+3,+1,+2,-2,+3,+1,+2,+1,+2,+1,+3,-1
1583,00,00,-1,-1,-1,-2,-1,00,00,00,+1,00
1584,+2,00,+1,-1,+2,-1,-1,+1,-1,00,00,-1
1585,00,+1,00,+1,+1,+1,+2,+2,+2,00,00,+1
1586,+1,00,+1,00,-1,+1,-2,-1,-2,00,-1,-1
1587,+3,00,-1,-1,-1,00,-2,-3,00,00,00,-2
1588,-2,00,+1,+3,-2,+2,-1,+2,00,+1,00,+2
1589,00,-3,00,-1,+1,00,+1,+1,-1,-2,00,+3
1590,00,00,-3,-2,00,-3,-3,-1,-1,-1,-3,00
1591,00,00,+3,+1,00,+2,+3,00,-1,-1,00,-3
1592,-2,00,00,00,+3,00,-1,00,+3,+2,+2,+1
1593,+1,-1,00,+1,+2,-1,+1,00,-2,-1,+1,-2
